ordre-1;bruker@bruker.no;2017-02-28;2592.0
ordre-2;bruker2@bruker.no;2018-05-28;5522.0
ordre-3;bruker2@bruker.no;2018-06-28;7823.0
ordre-4;eksempel@eksempel.no;2019-01-20;9170.0
ordre-5;eksempel@eksempel.no;2016-03-04;2592.0
ordre-6;eksempel@eksempel.no;2020-04-28;2592.0
ordre-7;bruker@bruker.no;2020-04-28;7404.0
ordre-8;eksempel@eksempel.no;2020-04-28;9803.0
ordre-9;bruker@bruker.no;2020-04-28;2592.0
ordre-10;eksempel@eksempel.no;2020-04-28;2592.0
ordre-11;bruker3@bruker.no;2020-04-28;2592.0
ordre-12;test@test.no;2020-05-02;3391.0
