4GB RAM;Dette er vårt billigste minnekort;5;299.0;Minnekort;./src/Datamaskin/images/missingImage.png
128 GB SSD;Egnet til pcer for vanlig bruk;5;299.0;Harddisk;./src/Datamaskin/images/missingImage.png
Intel Core I3;Eldre versjon av prosessor;5;299.0;Prosessor;./src/Datamaskin/images/missingImage.png
Strømforsyning 1;0.5 meter ledning;5;299.0;Strømforsyning;./src/Datamaskin/images/missingImage.png
Lydkort 1;God lyd;5;299.0;Lydkort;./src/Datamaskin/images/missingImage.png
Optisk disk 1;God opplevelse til daglige gjøremål;5;299.0;Optisk disk;./src/Datamaskin/images/missingImage.png
Mus 3;Godt egnet for gaming;5;499.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Mus 3;Godt egnet for gaming;5;499.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Mus 3;Godt egnet for gaming;5;499.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Mus 3;Godt egnet for gaming;5;499.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Mus 3;Godt egnet for gaming;5;499.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Skjermkort 1;Dette er vårt billigste skjermkort;7;299.0;Skjermkort;./src/Datamaskin/images/missingImage.png
Svart som olje;En tøff oljesvart farge med glans.;10;499.0;Farge;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene;3;1179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene;3;1179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene;3;1179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene;3;1179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
